Kebutuhan,KT_1,KT_2,KT_3,KT_4,KT_5,KT_6,KT_7,KT_8,PD_1,PD_2,PD_3,IPK_1,US_1,US_2,US_3,JK_1,FG_1,PL_1,BS_1,Outcome
9,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1
9,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1
9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1
11,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1
11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
11,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1
2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1
14,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
15,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
23,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1
2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1
15,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,2,0,1
1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
15,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
6,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1
2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
15,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
18,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
